,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
212,Uzbekistan,767.0,4.0,42.0,721.0,2020-04-11,14,143.0,0.22916666666666674
213,Armenia,1013.0,13.0,197.0,803.0,2020-04-12,24,46.0,0.04756980351602902
214,Azerbaijan,1098.0,11.0,250.0,837.0,2020-04-12,17,40.0,0.037807183364839236
215,Georgia,257.0,3.0,67.0,187.0,2020-04-12,13,15.0,0.06198347107438007
216,Kazakhstan,951.0,10.0,99.0,842.0,2020-04-12,17,86.0,0.09942196531791914
217,Kyrgyzstan,377.0,5.0,54.0,318.0,2020-04-12,12,38.0,0.11209439528023601
218,Uzbekistan,865.0,4.0,66.0,795.0,2020-04-12,15,98.0,0.1277705345501956
219,Armenia,1039.0,14.0,211.0,814.0,2020-04-13,25,26.0,0.02566633761105619
220,Azerbaijan,1148.0,12.0,289.0,847.0,2020-04-13,18,50.0,0.04553734061930781
221,Georgia,272.0,3.0,68.0,201.0,2020-04-13,14,15.0,0.05836575875486383
222,Kazakhstan,1091.0,12.0,138.0,941.0,2020-04-13,18,140.0,0.1472134595162986
223,Kyrgyzstan,419.0,5.0,67.0,347.0,2020-04-13,13,42.0,0.1114058355437666
224,Uzbekistan,998.0,4.0,85.0,909.0,2020-04-13,16,133.0,0.153757225433526
225,Armenia,1067.0,16.0,265.0,786.0,2020-04-14,26,28.0,0.026948989412896918
226,Azerbaijan,1197.0,13.0,351.0,833.0,2020-04-14,19,49.0,0.04268292682926833
227,Georgia,300.0,3.0,69.0,228.0,2020-04-14,15,28.0,0.10294117647058831
228,Kazakhstan,1232.0,14.0,203.0,1015.0,2020-04-14,19,141.0,0.12923923006416138
229,Kyrgyzstan,430.0,5.0,71.0,354.0,2020-04-14,14,11.0,0.026252983293556076
230,Uzbekistan,1165.0,4.0,99.0,1062.0,2020-04-14,17,167.0,0.16733466933867724
231,Armenia,1111.0,17.0,297.0,797.0,2020-04-15,27,44.0,0.04123711340206193
232,Azerbaijan,1253.0,13.0,404.0,836.0,2020-04-15,20,56.0,0.04678362573099415
233,Georgia,306.0,3.0,71.0,232.0,2020-04-15,16,6.0,0.020000000000000018
234,Kazakhstan,1295.0,16.0,240.0,1039.0,2020-04-15,20,63.0,0.051136363636363535
235,Kyrgyzstan,449.0,5.0,78.0,366.0,2020-04-15,15,19.0,0.04418604651162794
236,Uzbekistan,1302.0,4.0,107.0,1191.0,2020-04-15,18,137.0,0.11759656652360517
237,Armenia,1159.0,18.0,358.0,783.0,2020-04-16,28,48.0,0.04320432043204314
238,Azerbaijan,1283.0,15.0,460.0,808.0,2020-04-16,21,30.0,0.023942537909018347
239,Georgia,348.0,3.0,76.0,269.0,2020-04-16,17,42.0,0.13725490196078427
240,Kazakhstan,1402.0,17.0,277.0,1108.0,2020-04-16,21,107.0,0.08262548262548264
241,Kyrgyzstan,466.0,5.0,91.0,370.0,2020-04-16,16,17.0,0.03786191536748329
242,Uzbekistan,1349.0,4.0,129.0,1216.0,2020-04-16,19,47.0,0.036098310291858615
243,Armenia,1201.0,19.0,402.0,780.0,2020-04-17,29,42.0,0.036238136324417525
244,Azerbaijan,1340.0,15.0,528.0,797.0,2020-04-17,22,57.0,0.044427123928292955
245,Georgia,370.0,3.0,79.0,288.0,2020-04-17,18,22.0,0.06321839080459779
246,Kazakhstan,1546.0,17.0,347.0,1182.0,2020-04-17,22,144.0,0.10271041369472189
247,Kyrgyzstan,489.0,5.0,114.0,370.0,2020-04-17,17,23.0,0.04935622317596566
